"cnpj","nome_coop","auditorIndependente"
11969853,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA CONEXÃO - CRESOL CONEXÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7252614,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA CONFIANÇA - CRESOL CONFIANÇA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5983995,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA COOPERAR - CRESOL COOPERAR","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
10520232,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DA AMAZÔNIA - CRESOL AMAZÔNIA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
4490531,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE GOIÁS - CRESOL GOIÁS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
8624548,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE MINAS GERAIS - CRESOL MINAS GERAIS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
6139650,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DO RIO GRANDE DO SUL - CRESOL RIO GRANDE DO SUL","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7512780,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DO VALE EUROPEU - CRESOL VALE EUROPEU","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
6031727,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA ESSÊNCIA - CRESOL ESSÊNCIA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5276770,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA FRONTEIRAS PR/SC/SP/ES - CRESOL FRONTEIRAS PR/SC/SP/ES","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
6126780,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA GRANDES LAGOS PR/SP - CRESOL GRANDES LAGOS PR/SP","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5277312,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA HORIZONTE - CRESOL HORIZONTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7268499,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA INTEGRAÇÃO - CRESOL INTEGRAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
2934201,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA LIDERANÇA - CRESOL LIDERANÇA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7946451,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA MEIO OESTE - CRESOL MEIO OESTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
8488377,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA MISSÕES FRONTEIRA RS - CRESOL MISSÕES FRONTEIRA RS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5494591,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA NASCENTE - CRESOL NASCENTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
2025743,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA NORDESTE - CRESOL NORDESTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7925729,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA NORTE PARANAENSE - CRESOL NORTE PARANAENSE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5220243,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA ORIGENS - CRESOL ORIGENS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
2766672,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA PLANALTO SUL - CRESOL PLANALTO SUL","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
2448310,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA PROGRESSO - CRESOL PROGRESSO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
